Rk,Squad,Country,City,Longitude,Latitude,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer Name2,Goalkeeper
4,Paris S-G,FRANCE,Paris,2.3522,48.8567,1,38,26,8,4,90,36,54,86,2.26,76.7,39.8,36.9,0.97,41589,Kylian Mbappé - 28,Keylor Navas
66,Rayo Vallecano,SPAIN,Madrid,-3.7033,40.4169,12,38,11,9,18,39,50,-11,42,1.11,42.8,48.4,-5.6,-0.15,7866,Sergi Guardiola - 8,Stole Dimitrievski
22,RB Leipzig,GERMANY,Leipzig,12.3750,51.3400,4,34,17,7,10,72,37,35,58,1.71,64.5,40.1,24.5,0.72,22124,Christopher Nkunku - 20,Péter Gulácsi
5,Real Madrid,SPAIN,Madrid,-3.7033,40.4169,1,38,26,8,4,80,31,49,86,2.26,71.7,43.9,27.8,0.73,41235,Karim Benzema - 27,Thibaut Courtois
30,Real Sociedad,SPAIN,San Sebastián,-1.9800,43.3200,6,38,17,11,10,40,37,3,62,1.63,51.5,38.7,12.8,0.34,26813,Mikel Oyarzabal - 9,Álex Remiro
60,Reims,FRANCE,Reims,4.0286,49.2653,12,38,11,13,14,43,44,-1,46,1.21,37.7,46.4,-8.7,-0.23,11071,Hugo Ekitike - 10,Predrag Rajkovi?
20,Rennes,FRANCE,Rennes,-1.6808,48.1142,4,38,20,6,12,82,40,42,66,1.74,62.8,42.9,19.8,0.52,25493,Martin Terrier - 21,Alfred Gomis
27,Roma,ITALY,Rome,12.4828,41.8931,6,38,18,9,11,59,43,16,63,1.66,65.1,38.4,26.8,0.7,41929,Tammy Abraham - 17,Rui Patrício
87,Saint-Étienne,FRANCE,Saint-Étienne,4.3897,45.4339,18,38,7,11,20,42,77,-35,32,0.84,38.3,58.2,-19.9,-0.52,21806,Wahbi Khazri - 10,Paul Bernardoni
92,Salernitana,ITALY,Salerno,14.7594,40.6806,17,38,7,10,21,33,78,-45,31,0.82,36.5,65.2,-28.7,-0.76,15073,Federico Bonazzoli - 10,Vid Belec
81,Sampdoria,ITALY,Genoa,8.9340,44.4072,15,38,10,6,22,46,63,-17,36,0.95,36.7,56.1,-19.3,-0.51,9417,Francesco Caputo - 11,Emil Audero
48,Sassuolo,ITALY,Sassuolo,10.7856,44.5517,11,38,13,11,14,64,66,-2,50,1.32,55.7,66.4,-10.7,-0.28,8362,Gianluca Scamacca - 16,Andrea Consigli
16,Sevilla,SPAIN,Seville,-5.9833,37.3833,4,38,18,16,4,53,30,23,70,1.84,42.4,36.9,5.4,0.14,29756,Rafa Mir - 10,Yassine Bounou
71,Southampton,ENGLAND,Southampton,-1.4044,50.9067,15,38,9,13,16,43,67,-24,40,1.05,44.8,60,-15.2,-0.4,30134,James Ward-Prowse - 10,Fraser Forster
83,Spezia,ITALY,La Spezia,9.8289,44.1080,16,38,10,6,22,41,71,-30,36,0.95,40.1,64.4,-24.3,-0.64,6709,Daniele Verde - 8,Ivan Provedel
26,Strasbourg,FRANCE,Strasbourg,7.7522,48.5733,6,38,17,12,9,60,43,17,63,1.66,55.6,43.5,12.1,0.32,23555,Ludovic Ajorque - 12,Matz Sels
79,Stuttgart,GERMANY,Stuttgart,9.1800,48.7775,15,34,7,12,15,41,59,-18,33,0.97,43.7,54,-10.2,-0.3,27052,Sasa Kalajdzic - 6,Florian Müller
47,Torino,ITALY,Turin,7.6761,45.0792,10,38,13,11,14,46,41,5,50,1.32,48.7,38.9,9.8,0.26,9846,Andrea Belotti - 8,Vanja Milinkovi?-Savi?
13,Tottenham,ENGLAND,London,-0.1275,51.5072,4,38,22,5,11,69,40,29,71,1.87,61.2,39.3,21.9,0.58,56523,Son Heung-min - 23,Hugo Lloris
76,Troyes,FRANCE,Troyes,4.0781,48.2989,15,38,9,11,18,37,53,-16,38,1,39.2,50.8,-11.5,-0.3,9491,"Xavier Chavalerin, Ike Ugbo - 5",Gauthier Gallon
54,Udinese,ITALY,Udine,13.2333,46.0667,12,38,11,14,13,61,58,3,47,1.24,51.3,52.4,-1,-0.03,12144,Gerard Deulofeu - 13,Marco Silvestri
25,Union Berlin,GERMANY,Berlin,13.405,52.52,5,34,16,9,9,50,44,6,57,1.68,47,38.5,8.5,0.25,14046,Taiwo Awoniyi - 15,Andreas Luthe
52,Valencia,SPAIN,Valencia,-0.3764,39.4700,9,38,11,15,12,48,53,-5,48,1.26,39,47.7,-8.7,-0.23,27349,"Gonçalo Guedes, Carlos Soler - 11",Giorgi Mamardashvili
95,Venezia,ITALY,Venice,12.3319,45.4397,20,38,6,9,23,34,69,-35,27,0.71,36.5,71.8,-35.3,-0.93,6648,Thomas Henry - 9,Niki Mäenpää
33,Villarreal,SPAIN,Villarreal,-0.1014,39.9378,7,38,16,11,11,63,37,26,59,1.55,64.2,44.8,19.4,0.51,14293,Arnaut Danjuma - 10,Gerónimo Rulli
96,Watford,ENGLAND,Watford,-0.3958,51.6553,19,38,6,5,27,34,77,-43,23,0.61,40,64.5,-24.5,-0.64,20614,Emmanuel Dennis - 10,Ben Foster
37,West Ham,ENGLAND,London,-0.1275,51.5072,7,38,16,8,14,60,51,9,56,1.47,51.4,53.5,-2.1,-0.06,58370,Jarrod Bowen - 12,?ukasz Fabia?ski
56,Wolfsburg,GERMANY,Wolfsburg,10.7872,52.4231,12,34,12,6,16,43,54,-11,42,1.24,47.7,47.3,0.4,0.01,12018,Lukas Nmecha - 8,Koen Casteels
46,Wolves,ENGLAND,Wolverhampton,-2.1253,52.5842,10,38,15,6,17,38,43,-5,51,1.34,37.5,56.9,-19.4,-0.51,30841,Raúl Jiménez - 6,José Sá
